scorer,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski,Maski
individuals,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual1,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual2,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3,individual3
bodyparts,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop,body1,body1,body2,body2,head,head,lefthanbdtop,lefthanbdtop,lefthandbottom,lefthandbottom,leftlegbottom,leftlegbottom,leftlegtop,leftlegtop,righthandbottom,righthandbottom,righthandtop,righthandtop,rightlegbottom,rightlegbottom,rightlegtop,rightlegtop
metrics,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf,rmse,conf
21,2.2756778830687976,1.0,2.3330102639090455,1.0,3.343989039056522,1.0,,,,,5.265450204073982,1.0,1.6743107934793888,1.0,,,,,1.2125432867989134,1.0,0.6444777398227867,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,3.487478543854463,1.0,4.811584723085561,1.0,2.112594047864152,1.0,,,,,2.763775294412555,1.0,6.49337318327376,1.0,,,,,4.3235670598202525,1.0,1.044957006799279,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,1.5836086368895708,1.0,2.6163572413598613,1.0,2.077553113134514,1.0,,,,,0.7882591207963391,1.0,3.0182601205500275,1.0,7.218045982879575,0.07599999755620956,,,4.921750976450444,1.0,3.6594292457340294,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,3.701494010840991,1.0,0.565427008970002,1.0,2.293781016051935,1.0,,,,,4.641298777861604,1.0,0.2847496879643233,1.0,,,,,3.596401915708977,1.0,2.983197430633029,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,3.84636889880193,1.0,3.641656029592933,1.0,2.263808673256274,1.0,,,,,5.026669409578289,1.0,4.016276078789025,1.0,,,,,2.274611552221194,1.0,3.6758138700133784,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,2.8731143656720906,1.0,1.0185800500386464,1.0,3.5482585651336063,1.0,,,,,1.9103535070019138,1.0,3.800575422177689,1.0,,,,,0.8827047015894598,1.0,2.674029188958604,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,2.093448105234089,1.0,3.936585704124624,1.0,3.6395522167896677,1.0,,,,,6.1842609184292545,1.0,1.6503220094329054,1.0,,,,,1.253875902299081,1.0,3.8226968821614498,1.0,2.312780018791213,1.0,0.27374641421682666,1.0,2.879932977950424,1.0,,,,,1.5067790038284443,1.0,3.2857183200159974,1.0,,,,,1.4820770865074346,1.0,0.7766565499846366,1.0,,,,,,,,,,,,,,,,,,,,,,
28,4.070132746883973,1.0,2.5343861819551603,1.0,3.621075021128228,1.0,,,,,4.342401948507499,1.0,2.643810542324813,1.0,,,,,4.603260370706231,1.0,2.22496001567944,1.0,4.337401468721578,1.0,4.482584034593526,1.0,3.518404980401561,1.0,,,,,5.801733518188995,1.0,6.172947864206525,1.0,,,,,3.5679625024847175,1.0,1.1049703657511418,1.0,,,,,,,,,,,,,,,,,,,,,,
29,4.48028998355247,1.0,3.2146957670381675,1.0,4.7700836676214236,1.0,,,,,5.145940194800569,1.0,4.225045855440359,1.0,,,,,1.7301213539590892,1.0,6.469432500390438,1.0,4.007402917951563,1.0,3.1860796844676167,1.0,4.742768402663471,1.0,,,,,3.735401542419703,1.0,2.0752433108835717,1.0,,,,,1.209924479529056,1.0,1.6751653925005594,1.0,,,,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,5.264847743748522,1.0,6.467106929860559,1.0,0.8295805958855559,1.0,,,,,1.6729529436458128,1.0,2.0205887314347257,1.0,,,,,3.1149889667565582,1.0,2.7270613166615623,1.0,4.255310365739166,1.0,6.104419039871116,1.0,1.9149169112811228,1.0,,,,,4.399985602646082,1.0,3.058595121413657,1.0,,,,,2.9118678729751224,1.0,5.2072054778839405,1.0,,,,,,,,,,,,,,,,,,,,,,
33,4.066090047187673,1.0,6.939640579946485,1.0,1.7395535137233114,1.0,,,,,2.9444805517630837,1.0,4.689241348190203,1.0,,,,,1.9694956825608299,1.0,4.829325758756428,1.0,7.647529428564125,1.0,4.327256520817235,1.0,4.775142477186851,1.0,,,,,0.5620056122601026,1.0,0.9869714424834305,1.0,,,,,4.1972138078607415,1.0,3.261839139029646,1.0,,,,,,,,,,,,,,,,,,,,,,
34,3.816397143090032,1.0,1.5418382297967679,1.0,1.9471643799402538,1.0,,,,,2.448599939154956,1.0,4.348544598959315,1.0,,,,,4.273983410133294,1.0,1.819016553342838,1.0,0.209547891032103,1.0,5.467820164660392,1.0,5.906120317717707,1.0,,,,,3.406314045553724,1.0,5.018689548971874,1.0,,,,,5.086294351404573,1.0,1.7515705314603738,1.0,,,,,,,,,,,,,,,,,,,,,,
35,5.3344986879504415,1.0,2.545472261990033,1.0,5.629650514833536,1.0,,,,,1.3973401043410016,1.0,5.413391262287784,1.0,,,,,1.6558988112009905,1.0,1.7553490878445015,1.0,4.0585716583817035,1.0,3.1307057428779963,1.0,2.027922912171622,1.0,,,,,1.6603171710049023,1.0,3.1430379450413404,1.0,,,,,1.4582412391437416,1.0,1.5071482708549442,1.0,,,,,,,,,,,,,,,,,,,,,,
36,3.9669825285020415,1.0,1.1288948163138555,1.0,2.339435332118337,1.0,,,,,1.9167891003726423,1.0,5.159623182301177,1.0,,,,,4.63661797953692,1.0,2.9068703923747066,1.0,4.743778705483846,1.0,1.952497573994297,1.0,1.885710846040682,1.0,,,,,1.3291287481577871,1.0,5.315219955957294,1.0,,,,,2.1434628982313972,1.0,1.3534043764850767,1.0,,,,,,,,,,,,,,,,,,,,,,
37,2.454024110057232,1.0,3.4346041198078363,1.0,2.8391657161784534,1.0,,,,,2.5987475973770517,1.0,3.5938054958446006,1.0,,,,,1.4412113703353548,1.0,2.994904141705732,1.0,3.0667462040733384,1.0,1.8983721015216664,1.0,2.5585403793348456,1.0,,,,,1.135073169400892,1.0,4.1737036288071545,1.0,,,,,3.8069817276025697,1.0,2.4585616120991722,1.0,,,,,,,,,,,,,,,,,,,,,,
38,3.46996751940929,1.0,3.8307892952110794,1.0,2.5923044706528975,1.0,,,,,0.629777468580752,1.0,0.8242355801053701,1.0,,,,,3.5214661689073656,1.0,4.892293542077018,1.0,3.986341409695004,1.0,1.911436312720668,1.0,0.6376240496732254,1.0,,,,,0.6697841994863349,1.0,2.5983283627410576,1.0,,,,,4.260392899748248,1.0,3.313823368400706,1.0,,,,,,,,,,,,,,,,,,,,,,
39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.8096827257280554,1.0,3.964127803400247,1.0,2.9370672882634175,1.0,3.2009073956203182,1.0,2.671820761598388,1.0,2.987070219706203,1.0,2.9003144281227775,1.0,4.202733822293571,1.0,4.373164994529359,1.0,0.9935005179282858,1.0,1.1609747009922022,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.387033818506173,1.0,3.1206753314612454,1.0,2.0309020576767316,1.0,3.254835111166843,1.0,2.813017418444581,1.0,1.5775448954325375,1.0,4.367738376684801,1.0,3.478870300774331,1.0,3.8972240686310347,1.0,3.1403261922410293,1.0,5.257661047907109,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,4.277704937465886,1.0,1.2682447334624578,1.0,2.906386906295784,1.0,4.571267338776283,1.0,3.434916064146123,1.0,3.3738057445124467,1.0,0.5563975885863389,1.0,2.972272207268734,1.0,2.4861387293553654,1.0,3.7214873582955534,1.0,0.3636574909782086,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,3.0705083789266268,1.0,2.0943709660602265,1.0,3.0886179013265567,1.0,4.247126803111983,1.0,1.8467555233774438,1.0,1.1822848853012968,1.0,4.609915598036718,1.0,1.4723818750034123,1.0,0.43902985342438683,1.0,0.849222055688259,1.0,3.1799377400896276,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,20.122510380097665,0.9890000224113464,16.762798834103766,1.0,8.664900942621488,1.0,5.694370330236634,0.996999979019165,9.71942744855735,1.0,1.9595140400690796,1.0,30.541490553247986,0.9950000047683716,1.6745890153699292,1.0,11.327489447401923,1.0,1.5841241636642154,0.3100000023841858,14.192580896544138,0.9679999947547913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,4.457075898617536,1.0,0.33716008794913416,1.0,1.892041163279549,1.0,4.035708156801839,1.0,5.649093473208434,1.0,0.18826794327769483,1.0,2.143874047154686,1.0,2.2595791687752915,1.0,4.443488546731027,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,3.001484183352223,1.0,3.5323816343645302,1.0,3.9894388777904877,1.0,1.7634028688181242,1.0,1.42014799571366,1.0,1.0500752723200568,1.0,4.566023249110832,1.0,1.942320887693396,1.0,4.040062036537969,1.0,3.4554816220469653,1.0,3.916288686240088,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,16.672191925152436,1.0,10.708074130890346,1.0,6.669788368837164,1.0,2.50631672381891,1.0,8.315618032995282,1.0,7.404258094058224,1.0,6.749370332652407,1.0,6.119720690132879,1.0,4.507782572533701,1.0,5.811139376324297,1.0,9.319451376810104,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.1176523506257463,1.0,2.685412419241974,1.0,1.8599115871847518,1.0,2.752904263106006,1.0,0.3523593107451627,1.0,2.021491402068815,1.0,1.672124045775199,1.0,3.168704498930259,1.0,5.168041602211032,1.0,1.2851238611705833,1.0,1.9514845864679793,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,1.40024020783473,1.0,1.3681940081137969,1.0,1.2633794891890757,1.0,3.281631735597966,1.0,2.326943157909671,1.0,1.6066544088830015,1.0,4.50299240235031,1.0,0.4551809435007137,1.0,1.9623666835920766,1.0,0.44851507750554,1.0,0.9133641238811986,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,1.6170107355591983,1.0,0.8174601264465987,1.0,1.6415189935443737,1.0,3.692555352064489,1.0,1.6614340233809286,1.0,1.880258065216013,1.0,3.4382784819070724,1.0,1.6090314229406013,1.0,1.9115551074643646,1.0,1.100974260959705,1.0,2.6387673201437516,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,1.4457818054516476,1.0,2.886790505168971,1.0,1.326316092845464,1.0,1.371554367223961,1.0,1.52088172061907,1.0,2.1493845541013674,1.0,0.9348197389263093,1.0,2.94187749062449,1.0,3.242279192342671,1.0,1.0894936969417823,1.0,2.6124329061725264,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
